starid,Teff,Prot,ref,source,source_id,ra,dec,angular_distance
KIC2302548,5095.000000,12.18,santos19,kepler,Gaia DR3 2052528625536778624,291.364733,37.609241,0.000077
KIC2302851,4107.000000,12.18,santos19,kepler,Gaia DR3 2052551955792490880,291.424444,37.630443,0.000146
KIC2302997,3905.000000,25.4,santos19,kepler,Gaia DR3 2052552574274906880,291.454823,37.677210,0.000104
KIC2303311,4995.000000,24.54,santos19,kepler,Gaia DR3 2052553192750215936,291.519265,37.674585,0.000040
KIC2304140,4567.000000,17.11,santos19,kepler,Gaia DR3 2051807723869907200,291.694214,37.670321,0.000072
KIC2304757,4511.000000,24.2,santos19,kepler,Gaia DR3 2051803703780571392,291.843054,37.630931,0.000005
KIC2305283,3504.000000,41.27,santos19,kepler,Gaia DR3 2051793705097374336,291.971204,37.645500,0.000035
KIC2305311,4716.000000,27.99,santos19,kepler,Gaia DR3 2051793808176010496,291.976271,37.668627,0.000028
KIC2305562,4937.000000,22.42,santos19,kepler,Gaia DR3 2051792639944601344,292.030705,37.612463,0.000181
KIC2305760,4418.000000,19.8,santos19,kepler,Gaia DR3 2051886819987002368,292.068837,37.685718,0.000125
KIC2306630,4386.000000,27.61,santos19,kepler,Gaia DR3 2051884620965058176,292.247565,37.696458,0.000052
KIC2307249,4889.000000,5.3,santos19,kepler,Gaia DR3 2051842976959041024,292.384529,37.690481,0.000056
KIC2307837,4702.000000,9.17,santos19,kepler,Gaia DR3 2051838475833352704,292.515010,37.603232,0.000033
KIC2308103,5008.000000,31.06,santos19,kepler,Gaia DR3 2051840709216446848,292.572556,37.673132,0.000144
KIC2309152,3936.000000,28.97,santos19,kepler,Gaia DR3 2051851601253902464,292.797347,37.690794,0.000058
KIC2311350,5168.000000,9.11,santos19,kepler,Gaia DR3 2051664508177693952,293.294209,37.643583,0.000031
KIC2311508,5116.000000,19.39,santos19,kepler,Gaia DR3 2051664684280725248,293.323432,37.696410,0.000050
KIC2311578,4823.000000,11.06,santos19,kepler,Gaia DR3 2051652933250197376,293.334689,37.669535,0.000015
KIC2311842,4482.000000,19.39,santos19,kepler,Gaia DR3 2051653105049492096,293.391971,37.674695,0.000071
KIC2422714,5185.000000,28.77,santos19,kepler,Gaia DR3 2099096065408184064,286.102002,37.713766,0.000055
KIC2422906,5089.000000,27.22,santos19,kepler,Gaia DR3 2099097852114662656,286.164060,37.789050,0.000007
KIC2422920,5052.000000,46.43,santos19,kepler,Gaia DR3 2099097547178132480,286.167176,37.769654,0.000051
KIC2423052,4924.000000,30.84,santos19,kepler,Gaia DR3 2099097615897640320,286.208434,37.786611,0.000048
KIC2423549,3728.000000,40.14,santos19,kepler,Gaia DR3 2099175578142340480,286.372753,37.711213,0.000133
KIC2423813,5108.000000,45.16,santos19,kepler,Gaia DR3 2099176299696950016,286.459423,37.799293,0.000036
