starid,Prot,ref,source,source_id,Porb,eccentricity,semi_amplitude_primary,massfunc
KIC6370196,4.25,santos21,kepler,Gaia DR3 2077614356980056576,4.234357019132546,0.0458754201065817,41.67150593169842,0.03164766894413799
KIC6372002,26.45,santos21,kepler,Gaia DR3 2077503894726231936,528.7371738662758,0.3610353274849365,,
KIC6381879,8.71,santos21,kepler,Gaia DR3 2076956612816237184,558.9812987079305,0.1128559016767028,,
KIC6424212,14.45,santos21,kepler,Gaia DR3 2104116401139631104,14.48149987449139,0.053646642041254,25.459894551512892,0.024655563128538196
KIC6425135,22.58,santos21,kepler,Gaia DR3 2104086031431240960,91.1825913380887,0.113692611147992,,
KIC6430866,38.51,santos21,kepler,Gaia DR3 2102418725127496832,574.6583429312868,0.2409923198527789,,
KIC6436582,2.35,santos21,kepler,Gaia DR3 2101867320047628672,470.1299247057027,0.0823358306726968,,
KIC6446638,22.88,santos21,kepler,Gaia DR3 2077649580014984704,1.3282046446395896,0.3616884376116561,15.408043158850887,0.0004079268129548954
KIC6467826,1.74,santos21,kepler,Gaia DR3 2075412073862311040,2.6977744272864608,0.4569034338650825,13.527063289400308,0.0004869529963157656
KIC6470892,6.85,santos21,kepler,Gaia DR3 2075371769888334080,443.1021902608046,0.6800888286789342,,
KIC6497336,22.86,santos21,kepler,Gaia DR3 2104698420749390464,491.1239353711034,0.0955560844415174,,
KIC6503138,16.88,santos21,kepler,Gaia DR3 2104113278703950592,247.35062162193552,0.3026293740842564,,
KIC6504503,29.75,santos21,kepler,Gaia DR3 2104077510216230016,47.43336833619979,0.2108654727744291,17.91050780779981,0.02637467903042083
KIC6507962,25.5,santos21,kepler,Gaia DR3 2105437361284001792,25.053733114723222,0.2938766979641121,50.110563609623696,0.2852525718657378
KIC6508169,10.74,santos21,kepler,Gaia DR3 2105436128630709888,8.230102648792915,0.04327374732153,21.612988487765556,0.008584950215293279
KIC6523074,22.12,santos21,kepler,Gaia DR3 2101699472726963328,541.5246265449091,0.1368533644592214,,
KIC6600301,11.7,santos21,kepler,Gaia DR3 2101874466873444608,435.3799499002713,0.5501410999888736,,
KIC6606569,11.42,santos21,kepler,Gaia DR3 2101700159921702656,621.0969779855197,0.6393398390126357,,
KIC6607779,20.76,santos21,kepler,Gaia DR3 2125705213166844928,208.3115976158454,0.1555794386529055,11.423114369735876,0.03101087641780819
KIC6607779,20.76,santos21,kepler,Gaia DR3 2125705213166844928,211.08140568196524,0.2790460771057491,,
KIC6609876,20.02,santos21,kepler,Gaia DR3 2077690365021037568,1143.7477472762696,0.4330509776956587,,
KIC6609876,20.02,santos21,kepler,Gaia DR3 2077690365021037568,1.6723967146403655,0.0739918264952202,6.887944781854053,5.616180768757656e-05
KIC6616064,5.95,santos21,kepler,Gaia DR3 2077541518640597888,666.3522336169882,0.0662811067342981,6.920235858097058,0.022730419223071854
KIC6620730,20.03,santos21,kepler,Gaia DR3 2077127586874099712,506.4668937519834,0.1693799232849507,,
KIC6777975,4.58,santos21,kepler,Gaia DR3 2125723041576556288,20.927208156235277,0.1308522136174112,14.865262448302966,0.006940445786136739
KIC6803286,3.87,santos21,kepler,Gaia DR3 2078423803703071104,3.3774896084371715,0.1581213384414394,16.761527427121674,0.0015865335234152818
KIC6859806,5.13,santos21,kepler,Gaia DR3 2101942774032610944,384.8293405997876,0.4302887481543228,,
KIC6869185,18.71,santos21,kepler,Gaia DR3 2077738537377232128,544.2489613306956,0.5826655475357735,,
KIC6922313,15.67,santos21,kepler,Gaia DR3 2116736290664706944,750.9936705289858,0.2423449587379254,,
KIC6930019,32.61,santos21,kepler,Gaia DR3 2104198250336929152,470.79089906563325,0.259211843195534,,
KIC6932503,8.79,santos21,kepler,Gaia DR3 2105510620544051584,7.818597442941765,0.1275047606657,30.172317251383433,0.021711315198021656
KIC6934317,2.5,santos21,kepler,Gaia DR3 2105475264373092864,436.7174880138598,0.5566660631040512,,
KIC6934818,24.14,santos21,kepler,Gaia DR3 2102474525343084800,431.472063542477,0.2879550563028134,,
KIC7018859,18.83,santos21,kepler,Gaia DR3 2105486877964583936,19.085960538414415,0.1529381125796548,21.99923696368764,0.020320186433348247
KIC7030610,2.81,santos21,kepler,Gaia DR3 2101948129849913600,611.6484738569617,0.2681261453043251,,
KIC7035911,12.53,santos21,kepler,Gaia DR3 2125742562210188160,9.371990197712885,0.3837440133654782,29.20371996900192,0.019044993048925346
