uid,SHK,SIndex,SIndexSigma,teff,subclass,source
G14084031467283,0.128,0.2060567810918342,0.0076134946741447,6225.405,F6,Isaacson2024
G14035386922776,0.112,0.21503500289905209,0.01065261750608925,6238.595,F6,Isaacson2024
G14085487962162,0.178,0.2158766048330923,0.0029954733741918,6244.67,F7,Isaacson2024
G14064069146268,0.073,0.1987541147294357,0.0024807458389875,6245.68,F7,Isaacson2024
G14081755371801,0.133,0.1923044057845513,0.0014550875634540498,6251.78,F7,Isaacson2024
G14028281263421,0.133,0.20281026159833299,0.0024963750888457002,6254.29,F6,Isaacson2024
G14072860228640,0.138,0.2063675088337714,0.0109124499078074,6262.69,F7,Isaacson2024
G14084986197886,0.13,0.17674422492729977,0.011545395379387799,6272.935999999999,F7,Isaacson2024
G14085908513092,0.119,0.18485067507543862,0.0038151950155317,6285.085,F6,Isaacson2024
G14057902209190,0.112,0.19228073853148425,0.0027785680014522666,6290.604,F6,Isaacson2024
L15514040803592,0.158,0.2311322904371708,0.0065739877981594,6293.98,F6,Isaacson2010
G14030642825399,0.116,0.20262312945552347,0.00860315247788045,6296.32,F5,Isaacson2024
G14080907325268,0.109,0.1932190213858008,0.008344685331184,6298.26,F5,Isaacson2024
G14030949773442,0.125,0.2170493489486204,0.0029343675742969,6298.75,F7,Isaacson2024
G17057610828537,0.1732,0.2173777742057873,0.0014924552550084,6302.16,F6,BoroSaikia2018
G14076169491987,0.12800000000000003,0.1861453150507534,0.0025651198271941,6305.183,F5,Isaacson2024
G14035197743491,0.14,0.1983495925971655,0.0078251096832296,6305.42,F6,Isaacson2024
G14031245177393,0.12599999999999997,0.20524220013419872,0.005334353628090534,6311.517,F5,Isaacson2024
G14029923940353,0.151,0.22211603189936632,0.0026685147314635667,6317.9039999999995,F5,Isaacson2024
G14029726845813,0.115,0.18187803943724215,0.0057497519114384004,6318.31,F5,Isaacson2024
G14059459882761,0.155,0.2080107395829834,0.0021487599018704,6322.28,F7,Isaacson2024
G14086087077054,0.126,0.2142830996582347,0.0142653232191603,6343.73,F5,Isaacson2024
G14033367979556,0.124,0.22170517691499736,0.0022862775875374,6344.93,F6,Isaacson2024
L15665077359542,0.151,0.2175897718303357,0.0012161480514068,6345.28,F5,BoroSaikia2018
G14027847837372,0.128,0.20292628536938895,0.00336578753782775,6355.16,F7,Isaacson2024
G14030308009770,0.17399999999999996,0.22492196716236032,0.0073006970452324,6359.86,F5,Isaacson2024
L15137681034992,0.1457727272725,0.1945167513135815,0.0036225812511035,6361.04,F6,Isaacson2010
G14076311096326,0.121,0.20643174060252087,0.0077160090976403995,6361.773,F5,Isaacson2024
G14029170520237,0.13,0.20063015223042252,0.011294428667982633,6363.473,F5,Isaacson2024
G14072526040574,0.14,0.2145669426615628,0.0096130807795927,6377.33,F5,Isaacson2024
G14075997586829,0.126,0.2232752767641961,0.0096379658127993,6377.643,F6,Isaacson2024
G14082624207825,0.146,0.1982733261324962,0.0121408412712544,6379.09,F6,Isaacson2024
G14075712291193,0.171,0.2167166808146265,0.0135694287332552,6380.13,F6,Isaacson2024
L14083339055719,0.127,0.2163563809867382,0.0141407719312143,6396.13,F6,Isaacson2024
G14081066749874,0.138,0.2131509176651828,0.00479954932325665,6415.81,F5,Isaacson2024
G14058547645611,0.106,0.2263244019654174,0.0034272956334879,6427.4,F5,Isaacson2024
G14078510970797,0.121,0.22130225784373478,0.0053543237751337,6455.164,F5,Isaacson2024
L14076329520898,0.16999999999999998,0.23489340787190224,0.007529364701880235,6487.51,F5,Isaacson2024
G14031828688649,0.102,0.22902796132008374,0.00413876585236985,6489.575,F5,Isaacson2024
G14078185280445,0.128,0.1753207656861622,0.0101231287044769,6493.744,F5,Isaacson2024
L14071895641286,0.16,0.2270191630617483,0.0143487234034762,6515.57,F5,Isaacson2024
L15335459483631,0.4027,0.238668167824807,0.0174226757774383,6524.35,F5,BoroSaikia2018
G14032037639975,0.126,0.20239443039656135,0.0078955750186242,6565.935,F4,Isaacson2024
L14064250295112,0.136,0.240430799215892,0.0017715638888847,6572.89,F5,Isaacson2024
G14077404692906,0.134,0.22199693436075674,0.005559135412577651,6588.18,F5,Isaacson2024
G14081019869517,0.126,0.21628082834779286,0.006756461035814201,6603.42,F5,Isaacson2024
G14083444761267,0.14399999999999996,0.23751096522813428,0.0040168534771710005,6638.041,F4,Isaacson2024
L14080958980880,0.162,0.2199044137597366,0.0043313106117336,6716.29,F3,Isaacson2024
