uid,CaIIHK_snr,SIndex,SIndexSigma,SIndexOri,SIndexOriSigma,source_id,ra,dec,type,period,eccentricity,K1,mass_ratio,f1,f1err,f2,f2err,inclination,teff,teff_err,logg,logg_err,feh,feh_err,logrRprimehk,logrRprimehkerr,logrRprimehkerrUniform,w3mag,w3magerr,kmag,kmagerr,Gmag,BpRp,iso_mass,iso_mass_err,iso_rad,iso_rad_err,iso_lum,iso_lum_err
G10036471881722,37.24074,0.614676,0.041993,0.288324,0.008183,Gaia DR3 3072249961493043712,130.996996,-2.406839,Orbital,690.2619040370568,0.6902253246063524,,,,,,,,6781.49,25.2,4.15,0.035,-0.341,0.021,-3.89095,0.03328,0.08075,11.691,0.231,12.056,0.023,12.93529,0.53030205,1.2479254327847866,0.0246217452067372,1.5355073005012163,0.0749349765517772,4.470218474395869,0.4757569901909715
G10036480971034,108.40905,0.616646,0.014434,0.288707,0.002813,Gaia DR3 3072256524203069184,131.091308,-2.333872,SB1,0.8507082448167487,0.1410633501920294,62.20350764892588,,,,,,,7122.86,10.76,4.028,0.013,0.005,0.006,-3.86167,0.01119,0.0792,10.796,0.113,10.735,0.024,11.700817,0.5001278,1.5995936624641445,0.0001856269375741,2.01076881459046,0.0075835432333343,9.346392182067609,0.0231009161842034
G10036484163440,63.936105,0.489501,0.04182,0.263932,0.008149,Gaia DR3 3072345073545007232,130.59894,-2.446082,Orbital,774.052525709553,0.5881925880967566,,,,,,,,6697.367,22.707,4.111,0.031,-0.196,0.018,-4.01417,0.04333,0.11097,11.448,0.201,11.496,0.024,12.573306,0.5866575,1.298801130327704,0.0244198753353882,1.6106042715125048,0.0889678928912075,4.638696694754272,0.5253316258729508
G10036506073408,28.224197,0.36534,0.055281,0.239739,0.010772,Gaia DR3 3072127335882677376,130.87971,-2.822685,SB1,23.663104897560768,0.2063141894084602,30.776193899160237,,,,,,,5893.745,23.13,4.201,0.033,-0.763,0.019,-4.33845,0.09147,,10.154,0.059,10.238,0.023,11.676364,0.7749729,0.7788228887803228,0.0104326628594168,1.1441494366473537,0.0497529480381668,1.43029742488815,0.1253387205397244
G10036554801755,73.13046,0.275917,0.021142,0.222314,0.00412,Gaia DR3 5763834914253302400,132.463125,-2.605358,SB1,32.28850752430291,0.1983630857921764,27.60029567581097,,,,,,,6392.67,18.52,4.118,0.024,-0.007,0.013,-4.38127,0.04686,,10.552,0.116,10.704,0.023,11.828179,0.6542692,1.2992858154782512,0.0245621245037557,1.6086226103356684,0.0775826594195204,3.821583490964655,0.394024171657169
G10036561862432,30.689672,0.074852,0.050053,0.183136,0.009753,Gaia DR3 5763786157784534272,132.672292,-2.656179,Orbital,847.9642982167327,0.3183786652585501,,,,,,,,,,,,,,,,,11.809,0.287,11.967,0.023,13.207152,0.70833206,1.3401707992221357,0.0742837487470617,2.0467523289213205,0.1339201686462667,5.43856382571426,0.7452185600469008
G10036580218309,12.597089,0.352029,0.121173,0.237145,0.023611,Gaia DR3 5762275257009283200,132.379645,-2.915418,Orbital,675.8993572553079,0.346000627729738,,,,,,,,6063.54,52.86,4.345,0.07,-0.114,0.051,-4.31456,,,,,,,14.367206,0.7710562,1.054718411170321,0.0294383129396441,1.1125459513541578,0.0923978812622262,1.5048985060005131,0.2606293293724248
G10036591501691,11.003375,0.314774,0.141292,0.229886,0.027532,Gaia DR3 5762276665758532352,132.53378,-2.956256,SB1,646.8684172105308,0.4111448421488881,11.497871225331089,,,,,,,5699.25,49.48,4.228,0.07,-0.402,0.049,-4.48324,,,11.076,0.138,11.176,0.023,12.661738,0.8328409,0.8167089348346986,0.0197042639794636,1.1069493645514716,0.0955924614731716,1.1662961197328126,0.2101093649951065
G10036591501691,11.003375,0.314774,0.141292,0.229886,0.027532,Gaia DR3 5762276665758532352,132.53378,-2.956256,Orbital,722.493576430864,0.5191284204967421,,,,,,,,5699.25,49.48,4.228,0.07,-0.402,0.049,-4.48324,,,11.076,0.138,11.176,0.023,12.661738,0.8328409,0.8167089348346986,0.0197042639794636,1.1069493645514716,0.0955924614731716,1.1662961197328126,0.2101093649951065
G10036896163987,105.25528,1.314968,0.014829,0.424779,0.00289,Gaia DR3 3074017117197637504,131.570336,-1.381607,SB1,4.035939058021442,0.0114093244279493,73.17956963947648,,,,,,,7221.14,31.58,3.892,0.039,0.366,0.018,-3.50385,0.00522,0.03403,10.614,0.092,10.77,0.021,11.556062,0.47050476,1.9422263139754496,0.0492104351898581,2.61805524274114,0.1642680899419,16.86111220565345,2.1349447311703607
