wavelength_470712060,flux_470712060,wavlength_139202084,flux_139202084,wavelength_392605166,flux_392605166,wavelength_455405241,flux_455405241
3872.2114,0.74834955,3865.9788,0.8913394,3866.7058,0.9798825,3867.5374,1.0067216
3873.1035,0.8103217,3866.8694,0.85451454,3867.5964,0.97677964,3868.428,1.0096473
3873.9956,0.7970554,3867.7605,0.87613755,3868.4875,1.0043509,3869.319,0.9824601
3874.888,0.84958684,3868.6516,0.8968906,3869.3787,0.9761921,3870.2102,0.9471335
3875.7808,0.8825564,3869.543,0.85597247,3870.27,0.9343413,3871.1016,0.87759393
3876.6736,0.8037064,3870.4346,0.8465243,3871.1616,0.91030437,3871.9932,0.83140767
3877.5664,0.78574234,3871.3264,0.8330714,3872.0535,0.88383424,3872.885,0.8434096
3878.4597,0.81308377,3872.2185,0.83617926,3872.9456,0.87765783,3873.777,0.86984247
3879.3533,0.8378354,3873.1106,0.79187655,3873.8376,0.90371203,3874.6692,0.9157262
3880.2468,0.8316188,3874.003,0.79769564,3874.73,0.9455942,3875.5615,0.93480295
3881.1406,0.76366967,3874.8958,0.7961544,3875.6228,0.9311494,3876.4543,0.89384466
3882.0347,0.7895141,3875.7886,0.7801185,3876.5156,0.89664954,3877.3472,0.84722906
3882.929,0.7416359,3876.6814,0.83317727,3877.4084,0.86058986,3878.24,0.8404574
3883.8235,0.76404744,3877.5747,0.8005108,3878.3018,0.84221965,3879.1333,0.8524212
3884.7183,0.68448967,3878.4683,0.7709458,3879.1953,0.8558194,3880.0269,0.8788092
3885.613,0.6564917,3879.3618,0.7865725,3880.0889,0.8959631,3880.9204,0.8867484
3886.508,0.6022686,3880.2556,0.77819026,3880.9827,0.8785119,3881.8142,0.84935254
3887.4033,0.53823,3881.1497,0.79940426,3881.8767,0.872397,3882.7083,0.8052533
3888.2988,0.5470765,3882.044,0.79100853,3882.771,0.82480913,3883.6025,0.77385193
3889.1946,0.5417964,3882.9385,0.7615122,3883.6655,0.8040826,3884.497,0.7262503
3890.0906,0.5900407,3883.8333,0.72794926,3884.5603,0.7606399,3885.3918,0.6670758
3890.9866,0.65784866,3884.728,0.6885527,3885.455,0.70040226,3886.2866,0.59760576
3891.883,0.6459795,3885.623,0.6647713,3886.35,0.6352338,3887.1816,0.54322517
3892.7795,0.7078306,3886.5183,0.62101346,3887.2454,0.58280146,3888.077,0.5293203
3893.6763,0.7229667,3887.4138,0.59262896,3888.1409,0.55924356,3888.9724,0.5112837
3894.5732,0.7336189,3888.3096,0.5786193,3889.0366,0.57000196,3889.8682,0.5782785
3895.4705,0.76487345,3889.2056,0.538049,3889.9326,0.6391336,3890.7642,0.65934455
3896.3677,0.8171826,3890.1016,0.5614394,3890.8286,0.6851453,3891.6602,0.6940591
3897.2654,0.7698194,3890.998,0.6090999,3891.725,0.7371528,3892.5566,0.7318204
3898.163,0.7796646,3891.8945,0.6701277,3892.6216,0.7598008,3893.4531,0.7338325
3899.061,0.81197697,3892.7913,0.71019477,3893.5183,0.78304785,3894.3499,0.7625202
3899.9592,0.82974356,3893.6882,0.7501235,3894.4153,0.82443726,3895.2468,0.7864665
3900.8577,0.85263145,3894.5854,0.76159716,3895.3125,0.8290769,3896.144,0.81931835
3901.756,0.7655306,3895.4827,0.74483305,3896.2097,0.8429264,3897.0413,0.8582741
3902.655,0.77286893,3896.3804,0.7481285,3897.1074,0.88775915,3897.939,0.8421022
3903.554,0.7578296,3897.278,0.8142325,3898.0051,0.8569152,3898.8367,0.831536
3904.4531,0.73398334,3898.176,0.77730685,3898.903,0.856319,3899.7346,0.8628234
3905.3528,0.7265664,3899.0742,0.7547234,3899.8013,0.87121946,3900.6328,0.8709163
3906.2522,0.73016036,3899.9727,0.79076797,3900.6997,0.8972237,3901.5312,0.88671786
3907.152,0.81133294,3900.871,0.77192986,3901.5981,0.8867865,3902.4297,0.8851513
3908.0522,0.8289952,3901.77,0.7809853,3902.497,0.85960776,3903.3286,0.8360312
3908.9524,0.87194145,3902.669,0.7944122,3903.396,0.839699,3904.2275,0.82093394
3909.853,0.8917241,3903.568,0.78433526,3904.2952,0.83823246,3905.1267,0.8042952
3910.7537,0.8825342,3904.4678,0.7579407,3905.1948,0.82305413,3906.0264,0.81454283
3911.6545,0.87201244,3905.3672,0.8097356,3906.0942,0.83843595,3906.9258,0.86400694
3912.5557,0.8835084,3906.267,0.81473774,3906.9941,0.8808742,3907.8257,0.913244
3913.4568,0.8899442,3907.1672,0.84924686,3907.8943,0.917758,3908.7258,0.9267879
3914.3584,0.8395284,3908.0674,0.856042,3908.7944,0.93849,3909.626,0.9570009
3915.26,0.8515793,3908.968,0.8820331,3909.695,0.95350784,3910.5266,0.9402067
3916.1619,0.8478155,3909.8687,0.8974296,3910.5957,0.96069986,3911.4272,0.963119
3917.064,0.8384647,3910.7695,0.88466555,3911.4966,0.9770438,3912.3281,0.93745965
3917.9663,0.83296084,3911.6707,0.88852906,3912.3977,0.9509348,3913.2292,0.9242854
3918.869,0.82145584,3912.5718,0.8742367,3913.2988,0.94202536,3914.1304,0.89184606
3919.7717,0.8361303,3913.4734,0.88825804,3914.2004,0.9377843,3915.032,0.9132717
3920.6746,0.7876485,3914.375,0.8585212,3915.102,0.93967927,3915.9336,0.9101972
3921.578,0.8108588,3915.2769,0.83369756,3916.004,0.92955595,3916.8354,0.8870419
3922.4812,0.78734976,3916.179,0.8505321,3916.906,0.9056166,3917.7375,0.88374174
3923.3848,0.7893972,3917.0813,0.84937584,3917.8083,0.8903562,3918.64,0.86783475
3924.2886,0.83316493,3917.984,0.82962745,3918.711,0.86076534,3919.5425,0.8594051
3925.1926,0.7444495,3918.8867,0.8059302,3919.6138,0.8695463,3920.4453,0.8370037
3926.0967,0.73539716,3919.7896,0.8175038,3920.5166,0.8835808,3921.3481,0.87346894
3927.0012,0.6400664,3920.6929,0.8194886,3921.42,0.8942364,3922.2515,0.8715078
3927.9058,0.5721617,3921.5962,0.8045003,3922.3232,0.9045577,3923.1548,0.88900846
3928.8105,0.53903896,3922.4998,0.8290679,3923.2268,0.89469564,3924.0583,0.87346387
3929.7156,0.39276862,3923.4036,0.8319729,3924.1306,0.88508564,3924.9622,0.852429
3930.6208,0.42583627,3924.3076,0.80175966,3925.0347,0.86401874,3925.8662,0.7861834
3931.5264,0.33890253,3925.2117,0.774148,3925.9387,0.8475177,3926.7703,0.7248374
3932.432,0.282336,3926.1162,0.7315722,3926.8433,0.78031504,3927.6748,0.6408808
3933.338,0.2720813,3927.0208,0.6892482,3927.7478,0.7229272,3928.5793,0.57026756
3934.244,0.31596613,3927.9255,0.6341497,3928.6526,0.6417248,3929.4841,0.49029315
3935.1501,0.3080495,3928.8306,0.59970355,3929.5576,0.5635747,3930.3892,0.38278937
3936.0566,0.35099643,3929.7358,0.52203804,3930.463,0.4669841,3931.2944,0.3027515
3936.9634,0.44249707,3930.6414,0.47713178,3931.3684,0.3827652,3932.2,0.2228219
3937.8704,0.50995076,3931.5469,0.44265434,3932.274,0.2951761,3933.1055,0.1904341
3938.7776,0.5197711,3932.453,0.37271962,3933.18,0.259691,3934.0115,0.20015776
3939.6848,0.63682044,3933.359,0.3478443,3934.086,0.27408165,3934.9175,0.24558474
3940.5923,0.6331291,3934.2651,0.37386402,3934.9922,0.34352455,3935.8237,0.33252078
3941.5,0.6668894,3935.1716,0.37219357,3935.8987,0.44039595,3936.7302,0.43453044
3942.408,0.6723819,3936.0784,0.4456748,3936.8054,0.5422597,3937.637,0.5498995
3943.3162,0.6577366,3936.9854,0.5220098,3937.7124,0.6307875,3938.544,0.63368624
3944.2246,0.68745226,3937.8926,0.5959651,3938.6196,0.69146675,3939.4512,0.7298687
3945.1333,0.76799935,3938.7998,0.66138613,3939.5269,0.76137984,3940.3584,0.7640524
3946.042,0.7511332,3939.7073,0.70225984,3940.4343,0.80798656,3941.2659,0.77489066
